x_m,y_m,curvature_1_per_m,radius_m,heading_rad
1.001399297201707661e+01,2.738742121358149983e+00,-2.702520822407022960e-01,3.700249010882149747e+00,7.805261766355885145e-02
1.003316565891336509e+01,2.740190908380676582e+00,-2.791985749527517435e-01,3.581680172147111207e+00,7.276235812512980849e-02
1.005267451626710695e+01,2.741559053615902464e+00,-2.833495442830492039e-01,3.529209840553193089e+00,6.725375859517304655e-02
1.007258922529941714e+01,2.742843818924229904e+00,-2.829759351806986345e-01,3.533869406108454569e+00,6.159574010831443680e-02
1.009297946723141060e+01,2.744042466166061178e+00,-2.785246308333874654e-01,3.590346738842629559e+00,5.585498603294489217e-02
1.011391492328420583e+01,2.745152257201798118e+00,-2.705663122793475761e-01,3.695951619311515834e+00,5.009397364983722567e-02
1.013546527467892311e+01,2.746170453891843444e+00,-2.597414492396951657e-01,3.849982368725362036e+00,4.436945547067205897e-02
1.015770020263667384e+01,2.747094318096598542e+00,-2.467104446512104199e-01,4.053334675042886026e+00,3.873142063945126529e-02
1.018068938837857473e+01,2.747921111676466133e+00,-2.321121116794472861e-01,4.308262902631403435e+00,3.322252090952161618e-02
1.020450251312574785e+01,2.748648096491848491e+00,-2.165326401263821532e-01,4.618241385762149598e+00,2.787791098212698965e-02
1.022920925809930104e+01,2.749272534403147006e+00,-2.004854131773694814e-01,4.987894052497972908e+00,2.272543118468695750e-02
1.025487930452035990e+01,2.749791687270764839e+00,-1.844007019050132590e-01,5.422972850261223776e+00,1.778605093094696651e-02
1.028157761388178315e+01,2.750203667174442312e+00,-1.583790998674901862e-01,6.313964410939715499e+00,1.319505368564688995e-02
1.030933777092301895e+01,2.750512238452083036e+00,-1.339069272793019238e-01,7.467873547081015140e+00,9.148414895846654349e-03
1.033818056048048817e+01,2.750723471236437678e+00,-1.127949237107302854e-01,8.865647203810015142e+00,5.599923161467876102e-03
1.036812672963279347e+01,2.750843442462010735e+00,-9.456641437735990863e-02,1.057457879294839209e+01,2.503409134530757904e-03
1.039919702545853042e+01,2.750878229063307590e+00,-7.881627133311396027e-02,1.268773545215731069e+01,-1.826864227745076958e-04
